Symbol,ID,Exp Log Ratio,Exp p-value,Exp False Discovery Rate (q-value),Entrez Gene Name
SLC22A3,ENSG00000146477,2.174,2.02E-03,6.14E-02,"solute carrier family 22 (organic cation transporter), member 3"
SLC22A31,ENSG00000259803,0.089,9.11E-01,9.90E-01,"solute carrier family 22, member 31"
SLC22A4,ENSG00000197208,0.953,1.59E-02,2.04E-01,"solute carrier family 22 (organic cation/zwitterion transporter), member 4"
SLC22A5,ENSG00000197375,0.467,6.91E-02,4.39E-01,"solute carrier family 22 (organic cation/carnitine transporter), member 5"
SLC22A6,ENSG00000197901,-2.091,8.60E-03, ,"solute carrier family 22 (organic anion transporter), member 6"
SLC22A7,ENSG00000137204,0.064,9.21E-01,9.91E-01,"solute carrier family 22 (organic anion transporter), member 7"
SLC22A8,ENSG00000149452,0.293,5.52E-01, ,"solute carrier family 22 (organic anion transporter), member 8"
SLC22A9,ENSG00000149742,-0.274,6.86E-01, ,"solute carrier family 22 (organic anion transporter), member 9"
SLC23A1,ENSG00000170482,0.162,8.36E-01, ,"solute carrier family 23 (ascorbic acid transporter), member 1"
SLC23A2,ENSG00000089057,0.071,8.34E-01,9.76E-01,"solute carrier family 23 (ascorbic acid transporter), member 2"
SLC23A3,ENSG00000213901,1.065,3.62E-02,3.18E-01,"solute carrier family 23, member 3"
SLC24A1,ENSG00000074621,0.484,2.99E-01,7.65E-01,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 1"
SLC24A2,ENSG00000155886,-0.192,7.98E-01,9.69E-01,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 2"
SLC24A3,ENSG00000185052,0.674, , ,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 3"
SLC24A4,ENSG00000140090,0.477,5.08E-01,8.78E-01,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 4"
SLC24A5,ENSG00000188467,-0.683,3.89E-01, ,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 5"
SLC25A1,ENSG00000100075,-0.124,4.86E-01,8.69E-01,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1"
SLC25A10,ENSG00000183048,-0.065,8.26E-01,9.76E-01,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10"
SLC25A11,ENSG00000108528,-0.053,7.65E-01,9.63E-01,"solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11"
SLC25A12,ENSG00000115840,-0.099,7.76E-01,9.66E-01,"solute carrier family 25 (aspartate/glutamate carrier), member 12"
SLC25A13,ENSG00000004864,0.402,6.34E-02,4.22E-01,"solute carrier family 25 (aspartate/glutamate carrier), member 13"
SLC25A14,ENSG00000102078,0.185,4.80E-01,8.65E-01,"solute carrier family 25 (mitochondrial carrier, brain), member 14"
SLC25A14P1,ENSG00000213608,0.397,6.09E-01, ,"solute carrier family 25 (mitochondrial carrier, brain), member 14 pseudogene 1"
SLC25A15,ENSG00000102743,0.184,4.59E-01,8.57E-01,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15
SLC25A15P1,ENSG00000227629, , , ,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15 pseudogene 1
SLC25A15P2,ENSG00000237164, , , ,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15 pseudogene 2
SLC25A15P3,ENSG00000251299, , , ,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15 pseudogene 3
SLC25A15P5,ENSG00000249288, , , ,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15 pseudogene 5
SLC25A16,ENSG00000122912,0.288,7.58E-02,4.57E-01,"solute carrier family 25 (mitochondrial carrier), member 16"
SLC25A17,ENSG00000100372,0.238,1.77E-01,6.47E-01,"solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17"
SLC25A18,ENSG00000182902,-0.626,2.85E-01,7.53E-01,"solute carrier family 25 (glutamate carrier), member 18"
SLC25A18P1,ENSG00000234309, , , ,SLC25A18P1 processed pseudogene
SLC25A19,ENSG00000125454,0.22,2.94E-01,7.61E-01,"solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19"
SLC25A1P1,ENSG00000254479, , , ,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 pseudogene 1"
SLC25A1P2,ENSG00000234467, , , ,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 pseudogene 2"
SLC25A1P3,ENSG00000213645, , , ,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 pseudogene 3"
SLC25A1P4,ENSG00000261608, , , ,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 pseudogene 4"
SLC25A1P5,ENSG00000267323, , , ,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 pseudogene 5"
SLC25A2,ENSG00000120329,-0.157,7.61E-01,9.63E-01,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 2
SLC25A20,ENSG00000178537,0.193,6.59E-01,9.37E-01,"solute carrier family 25 (carnitine/acylcarnitine translocase), member 20"
SLC25A20P1,ENSG00000218363, , , ,"solute carrier family 25 (carnitine/acylcarnitine translocase), member 20 pseudogene 1"
SLC25A21,ENSG00000183032,0.01,9.77E-01,9.97E-01,"solute carrier family 25 (mitochondrial oxoadipate carrier), member 21"
SLC25A21-AS1,ENSG00000258708,-0.555,1.58E-01,6.19E-01,SLC25A21 antisense RNA 1
SLC25A22,ENSG00000177542,-0.224,3.58E-01,8.07E-01,"solute carrier family 25 (mitochondrial carrier: glutamate), member 22"
SLC25A23,ENSG00000125648,0.042,8.75E-01,9.83E-01,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23"
SLC25A24,ENSG00000085491,-0.005,9.91E-01,9.98E-01,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24"
SLC25A24P1,ENSG00000241361,0.289,5.55E-01, ,SLC25A24 pseudogene 1
SLC25A24P2,ENSG00000238118, , , ,SLC25A24 pseudogene 2
SLC25A25,ENSG00000148339,-0.04,8.80E-01,9.84E-01,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25"
SLC25A25-AS1,ENSG00000234771,0.01,9.79E-01,9.97E-01,SLC25A25 antisense RNA 1
SLC25A26,ENSG00000144741,0.66,5.44E-02,3.89E-01,"solute carrier family 25 (S-adenosylmethionine carrier), member 26"
SLC25A27,ENSG00000153291,0.402,4.93E-01,8.73E-01,"solute carrier family 25, member 27"
SLC25A28,ENSG00000155287,0.117,5.66E-01,9.06E-01,"solute carrier family 25 (mitochondrial iron transporter), member 28"
SLC25A29,ENSG00000197119,-0.507,1.12E-01,5.43E-01,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine carrier), member 29"
SLC25A3,ENSG00000075415,0.413,2.11E-01,6.84E-01,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3"
SLC25A30,ENSG00000174032,0.328,1.94E-01,6.64E-01,"solute carrier family 25, member 30"
SLC25A30-AS1,ENSG00000251015,-0.338,5.27E-01,8.88E-01,SLC25A30 antisense RNA 1
SLC25A31,ENSG00000151475,0.594,4.54E-01, ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31"
SLC25A32,ENSG00000164933,0.985,2.85E-02,2.83E-01,"solute carrier family 25 (mitochondrial folate carrier), member 32"
SLC25A33,ENSG00000171612,0.048,8.63E-01,9.81E-01,"solute carrier family 25 (pyrimidine nucleotide carrier), member 33"
SLC25A34,ENSG00000162461,-0.727,3.74E-02,3.24E-01,"solute carrier family 25, member 34"
SLC25A35,ENSG00000125434,-0.122,7.47E-01,9.60E-01,"solute carrier family 25, member 35"
SLC25A36,ENSG00000114120,-0.084,7.51E-01,9.60E-01,"solute carrier family 25 (pyrimidine nucleotide carrier), member 36"
SLC25A36P1,ENSG00000267781,0.891,2.24E-01, ,SLC25A36P1 processed pseudogene
SLC25A37,ENSG00000147454,-0.073,8.07E-01,9.71E-01,"solute carrier family 25 (mitochondrial iron transporter), member 37"
SLC25A38,ENSG00000144659,0.113,6.62E-01,9.39E-01,"solute carrier family 25, member 38"
SLC25A38P1,ENSG00000229785, , , ,"solute carrier family 25, member 38 pseudogene 1"
SLC25A39,ENSG00000013306,0.214,3.33E-01,7.91E-01,"solute carrier family 25, member 39"
SLC25A39P1,ENSG00000226148, , , ,"solute carrier family 25, member 39 pseudogene 1"
SLC25A3P1,ENSG00000236253,-1.192,1.27E-01,5.71E-01,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3 pseudogene 1"
SLC25A3P2,ENSG00000258373, , , ,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3 pseudogene 2"
SLC25A4,ENSG00000151729,0.207,5.13E-01,8.81E-01,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4"
SLC25A40,ENSG00000075303,-0.318,3.26E-01,7.85E-01,"solute carrier family 25, member 40"
SLC25A41,ENSG00000181240,0.221,6.75E-01,9.42E-01,"solute carrier family 25, member 41"
SLC25A42,ENSG00000181035,0.02,9.26E-01,9.92E-01,"solute carrier family 25, member 42"
SLC25A43,ENSG00000077713,0.767,2.63E-01,7.34E-01,"solute carrier family 25, member 43"
SLC25A44,ENSG00000160785,0.058,7.64E-01,9.63E-01,"solute carrier family 25, member 44"
SLC25A45,ENSG00000162241,-0.245,6.75E-01,9.42E-01,"solute carrier family 25, member 45"
SLC25A46,ENSG00000164209,-0.141,6.21E-01,9.24E-01,"solute carrier family 25, member 46"
SLC25A47,ENSG00000140107,-0.858,2.78E-01, ,"solute carrier family 25, member 47"
SLC25A48,ENSG00000145832,-1.802,2.63E-04,1.54E-02,"solute carrier family 25, member 48"
SLC25A5,ENSG00000005022,0.123,6.65E-01,9.39E-01,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"
SLC25A5-AS1,ENSG00000224281,-0.456,2.80E-01,7.50E-01,SLC25A5 antisense RNA 1
SLC25A51,ENSG00000122696,0.25,1.44E-01,5.97E-01,"solute carrier family 25, member 51"
SLC25A51P1,ENSG00000220483, , , ,"solute carrier family 25, member 51 pseudogene 1"
SLC25A51P2,ENSG00000263716, , , ,"solute carrier family 25, member 51 pseudogene 2"
SLC25A51P3,ENSG00000254181,0.301,5.46E-01, ,"solute carrier family 25, member 51 pseudogene 3"
SLC25A52,ENSG00000141437,0.436,5.81E-01, ,"solute carrier family 25, member 52"
SLC25A53,ENSG00000269743, , , ,"solute carrier family 25, member 53"
SLC25A5P1,ENSG00000215347,-0.012,9.83E-01, ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 pseudogene 1"
SLC25A5P2,ENSG00000235064, , , ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 pseudogene 2"
SLC25A5P3,ENSG00000213673,-0.535,3.40E-01, ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 pseudogene 3"
SLC25A5P4,ENSG00000234421, , , ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 pseudogene 4"
SLC25A5P5,ENSG00000226421, , , ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 pseudogene 5"
SLC25A5P6,ENSG00000213332, , , ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 pseudogene 6"
SLC25A5P7,ENSG00000218180, , , ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 pseudogene 7"
SLC25A5P8,ENSG00000225347, , , ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 pseudogene 8"
SLC25A5P9,ENSG00000251078, , , ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 pseudogene 9"
SLC25A6,ENSG00000169100,0.5,1.59E-01,6.22E-01,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6"
SLC25A6P1,ENSG00000233015, , , ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6, pseudogene 1"
SLC25A6P2,ENSG00000232203,0.307,5.41E-01, ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6 pseudogene 2"
SLC25A6P3,ENSG00000232846,-0.047,9.44E-01, ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6 pseudogene 3"
SLC25A6P4,ENSG00000266909,0.064,9.17E-01, ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6 pseudogene 4"
SLC25A6P5,ENSG00000228948,0.07,9.30E-01, ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6 pseudogene 5"
SLC25A6P6,ENSG00000218870,-0.641,4.14E-01, ,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6 pseudogene 6"
SLC26A1,ENSG00000145217,0.476,2.93E-01,7.61E-01,"solute carrier family 26 (anion exchanger), member 1"
SLC26A10,ENSG00000135502,-0.14,7.00E-01,9.47E-01,"solute carrier family 26, member 10"
SLC26A11,ENSG00000181045,-0.306,2.36E-01,7.15E-01,"solute carrier family 26 (anion exchanger), member 11"
SLC26A2,ENSG00000155850,0.737,4.56E-02,3.56E-01,"solute carrier family 26 (anion exchanger), member 2"
SLC26A3,ENSG00000091138,-0.376,4.48E-01, ,"solute carrier family 26 (anion exchanger), member 3"
SLC26A4,ENSG00000091137,0.418,4.13E-01,8.35E-01,"solute carrier family 26 (anion exchanger), member 4"
SLC26A4-AS1,ENSG00000233705,-0.275,7.29E-01, ,SLC26A4 antisense RNA 1
SLC26A5,ENSG00000170615,-0.466,4.69E-01, ,"solute carrier family 26 (anion exchanger), member 5"
SLC26A6,ENSG00000225697,0.222,5.18E-01,8.82E-01,"solute carrier family 26 (anion exchanger), member 6"
SLC26A7,ENSG00000147606,-0.359,6.31E-01,9.28E-01,"solute carrier family 26 (anion exchanger), member 7"
SLC26A8,ENSG00000112053,0.601,3.88E-01, ,"solute carrier family 26 (anion exchanger), member 8"
SLC26A9,ENSG00000174502,0.592,4.47E-01, ,"solute carrier family 26 (anion exchanger), member 9"
SLC27A1,ENSG00000130304,-0.418,1.50E-01,6.08E-01,"solute carrier family 27 (fatty acid transporter), member 1"
SLC27A2,ENSG00000140284,0.734,2.94E-01,7.61E-01,"solute carrier family 27 (fatty acid transporter), member 2"
SLC27A3,ENSG00000143554,-0.489,1.75E-01,6.45E-01,"solute carrier family 27 (fatty acid transporter), member 3"
SLC27A3,ENSG00000263163, , , ,"solute carrier family 27 (fatty acid transporter), member 3"
SLC27A4,ENSG00000167114,0.476,3.10E-02,2.95E-01,"solute carrier family 27 (fatty acid transporter), member 4"
SLC27A5,ENSG00000083807,-0.164,3.98E-01,8.29E-01,"solute carrier family 27 (fatty acid transporter), member 5"
SLC27A6,ENSG00000113396,1.19,2.09E-03,6.27E-02,"solute carrier family 27 (fatty acid transporter), member 6"
SLC28A1,ENSG00000156222,0.495,4.74E-01, ,"solute carrier family 28 (concentrative nucleoside transporter), member 1"
SLC28A2,ENSG00000137860,-0.029,9.54E-01,9.96E-01,"solute carrier family 28 (concentrative nucleoside transporter), member 2"
SLC28A3,ENSG00000197506,2.758,1.78E-04,1.17E-02,"solute carrier family 28 (concentrative nucleoside transporter), member 3"
SLC29A1,ENSG00000112759,0.758,2.38E-01,7.17E-01,"solute carrier family 29 (equilibrative nucleoside transporter), member 1"
SLC29A2,ENSG00000174669,-0.993,3.29E-02,3.04E-01,"solute carrier family 29 (equilibrative nucleoside transporter), member 2"
SLC29A3,ENSG00000198246,0.733,4.85E-03,1.06E-01,"solute carrier family 29 (equilibrative nucleoside transporter), member 3"
SLC29A4,ENSG00000164638,-0.282,3.89E-01,8.23E-01,"solute carrier family 29 (equilibrative nucleoside transporter), member 4"
SLC29A4P1/SLC29A4P2,ENSG00000214660, , , ,"solute carrier family 29 (nucleoside transporters), member 4 pseudogene 1"
SLC29A4P1/SLC29A4P2,ENSG00000214668, , , ,"solute carrier family 29 (nucleoside transporters), member 4 pseudogene 1"
SLC2A1,ENSG00000117394,0.982,1.61E-02,2.05E-01,"solute carrier family 2 (facilitated glucose transporter), member 1"
SLC2A1-AS1,ENSG00000227533,-0.381,3.84E-01,8.20E-01,SLC2A1 antisense RNA 1
SLC2A10,ENSG00000197496,0.288,5.85E-01,9.10E-01,"solute carrier family 2 (facilitated glucose transporter), member 10"
SLC2A11,ENSG00000133460,0.518,1.51E-01,6.10E-01,"solute carrier family 2 (facilitated glucose transporter), member 11"
SLC2A12,ENSG00000146411,0.245,7.03E-01,9.48E-01,"solute carrier family 2 (facilitated glucose transporter), member 12"
SLC2A13,ENSG00000151229,0.183,6.51E-01,9.34E-01,"solute carrier family 2 (facilitated glucose transporter), member 13"
SLC2A13P1,ENSG00000254954, , , , 
SLC2A14,ENSG00000173262,1.569,4.04E-03,9.63E-02,"solute carrier family 2 (facilitated glucose transporter), member 14"
SLC2A2,ENSG00000163581,0.613,3.40E-01, ,"solute carrier family 2 (facilitated glucose transporter), member 2"
SLC2A3,ENSG00000059804,1.168,1.05E-09,6.91E-07,"solute carrier family 2 (facilitated glucose transporter), member 3"
SLC2A3P1,ENSG00000253861, , , ,"solute carrier family 2 (facilitated glucose transporter), member 3 pseudogene 1"
SLC2A3P2,ENSG00000185031,-0.787,1.13E-01,5.44E-01,"solute carrier family 2 (facilitated glucose transporter), member 3 pseudogene 2"
SLC2A3P4,ENSG00000254088,0.704,3.69E-01, ,"solute carrier family 2 (facilitated glucose transporter), member 3 pseudogene 4"
SLC2A4,ENSG00000181856,-0.363,4.02E-01,8.30E-01,"solute carrier family 2 (facilitated glucose transporter), member 4"
SLC2A4RG,ENSG00000125520,0.225,5.79E-01,9.09E-01,SLC2A4 regulator
SLC2A5,ENSG00000142583,0.703,2.05E-01,6.77E-01,"solute carrier family 2 (facilitated glucose/fructose transporter), member 5"
SLC2A6,ENSG00000160326,0.532,1.42E-01,5.93E-01,"solute carrier family 2 (facilitated glucose transporter), member 6"
SLC2A7,ENSG00000197241,-0.135,8.50E-01, ,"solute carrier family 2 (facilitated glucose transporter), member 7"
SLC2A8,ENSG00000136856,0.14,5.63E-01,9.05E-01,"solute carrier family 2 (facilitated glucose transporter), member 8"
SLC2A9,ENSG00000109667,1.332,3.12E-02,2.96E-01,"solute carrier family 2 (facilitated glucose transporter), member 9"
SLC30A1,ENSG00000170385,0.212,5.98E-01,9.16E-01,"solute carrier family 30 (zinc transporter), member 1"
SLC30A10,ENSG00000196660,-0.804,2.09E-01,6.82E-01,"solute carrier family 30, member 10"
SLC30A2,ENSG00000158014,0.58,4.36E-01, ,"solute carrier family 30 (zinc transporter), member 2"
SLC30A3,ENSG00000115194,1.233,3.63E-02,3.18E-01,"solute carrier family 30 (zinc transporter), member 3"
SLC30A4,ENSG00000104154,0.463,9.36E-02,5.02E-01,"solute carrier family 30 (zinc transporter), member 4"
SLC30A5,ENSG00000145740,0.121,6.54E-01,9.35E-01,"solute carrier family 30 (zinc transporter), member 5"
SLC30A6,ENSG00000152683,0.238,4.32E-01,8.45E-01,"solute carrier family 30 (zinc transporter), member 6"
SLC30A7,ENSG00000162695,0.681,1.26E-01,5.67E-01,"solute carrier family 30 (zinc transporter), member 7"
SLC30A8,ENSG00000164756,-0.279,6.90E-01, ,"solute carrier family 30 (zinc transporter), member 8"
SLC30A9,ENSG00000014824,-0.013,9.52E-01,9.95E-01,"solute carrier family 30 (zinc transporter), member 9"
SLC31A1,ENSG00000136868,0.177,6.54E-01,9.35E-01,"solute carrier family 31 (copper transporter), member 1"
SLC31A1P1,ENSG00000224426, , , ,"solute carrier family 31 (copper transporter), member 1 pseudogene 1"
SLC31A2,ENSG00000136867,0.363,1.20E-01,5.56E-01,"solute carrier family 31 (copper transporter), member 2"
SLC32A1,ENSG00000101438,-0.576,4.43E-01,8.50E-01,"solute carrier family 32 (GABA vesicular transporter), member 1"
SLC33A1,ENSG00000169359,0.324,3.27E-01,7.85E-01,"solute carrier family 33 (acetyl-CoA transporter), member 1"
SLC34A1,ENSG00000131183,-0.376,4.48E-01, ,"solute carrier family 34 (type II sodium/phosphate cotransporter), member 1"
SLC34A2,ENSG00000157765,-0.88,2.47E-01,7.24E-01,"solute carrier family 34 (type II sodium/phosphate cotransporter), member 2"
SLC34A3,ENSG00000198569,-0.256,6.86E-01, ,"solute carrier family 34 (type II sodium/phosphate cotransporter), member 3"
SLC35A1,ENSG00000164414,-0.114,6.36E-01,9.30E-01,"solute carrier family 35 (CMP-sialic acid transporter), member A1"
SLC35A2,ENSG00000102100,0.573,1.66E-01,6.31E-01,"solute carrier family 35 (UDP-galactose transporter), member A2"
SLC35A3,ENSG00000117620,-0.189,2.05E-01,6.78E-01,"solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3"
SLC35A4,ENSG00000176087,0.445,2.17E-01,6.91E-01,"solute carrier family 35, member A4"
SLC35A5,ENSG00000138459,-0.092,7.76E-01,9.66E-01,"solute carrier family 35, member A5"
SLC35B1,ENSG00000121073,0.124,6.05E-01,9.19E-01,"solute carrier family 35, member B1"
SLC35B2,ENSG00000157593,0.277,4.84E-01,8.67E-01,"solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B2"
SLC35B3,ENSG00000124786,0.745,2.73E-02,2.77E-01,"solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B3"
SLC35B4,ENSG00000205060,-0.075,7.80E-01,9.66E-01,"solute carrier family 35 (UDP-xylose/UDP-N-acetylglucosamine transporter), member B4"
SLC35C1,ENSG00000181830,0.718,2.83E-02,2.82E-01,"solute carrier family 35 (GDP-fucose transporter), member C1"
SLC35C2,ENSG00000080189,0.193,5.21E-01,8.84E-01,"solute carrier family 35 (GDP-fucose transporter), member C2"
SLC35D1,ENSG00000116704,0.525,1.13E-01,5.44E-01,"solute carrier family 35 (UDP-GlcA/UDP-GalNAc transporter), member D1"
SLC35D2,ENSG00000130958,0.354,3.80E-01,8.19E-01,"solute carrier family 35 (UDP-GlcNAc/UDP-glucose transporter), member D2"
